FuelType,TotalFuelConsumption,NetGeneration
Biomass,"71,485","4,255"
Petroleum,"16,110","5,153"
Petroleum,"6,892","3,305"
Petroleum,"2,699","1,653"
Petroleum,0,0
Petroleum,321,136
Petroleum,0,66
Petroleum,476,195
Petroleum,242,118
Petroleum,"47,223","17,885"
Petroleum,"585,695","344,195"
Petroleum,"1,051",700
Petroleum,12,6
Petroleum,"15,792","3,777"
Petroleum,"46,176","30,216"
Petroleum,0,0
Petroleum,"33,548","19,252"
Hydro,0,"57,056"
Hydro,0,"244,773"
Hydro,0,"329,763"
Hydro,0,"572,958"
Petroleum,"654,007","370,545"
Petroleum,"88,768","29,382"
Petroleum,"50,627","25,141"
Petroleum,13,4
Gas,0,"336,597"
Gas,"12,809,260","1,185,654"
Gas,"8,559,573","525,319"
Gas,0,"190,080"
Gas,"8,274,543","621,908"
Gas,"2,427,893","192,493"
Gas,"5,206,730","468,275"
Gas,0,0
Gas,0,0
Gas,0,0
Gas,"690,254","50,775"
Other,0,0
Other,0,0
Petroleum,"508,145","333,015"
Petroleum,"27,712","7,138"
Coal,"132,512","138,917"
Coal,"240,874","88,101"
Coal,"173,482","73,163"
Coal,"191,792","153,263"
Coal,"65,205","39,352"
Coal,"72,416","74,027"
Wind,0,"3,062"
Gas,"53,230,598","123,646"
Biomass,"773,587","176,274"
Biomass,"219,643","37,199"
Biomass,"799,704","244,022"
Biomass,"82,841","9,342"
Biomass,"298,756","79,231"
Biomass,"501,922","245,980"
Biomass,"874,785","296,011"
Biomass,0,0
Biomass,"476,052","117,340"
Biomass,"523,804","155,029"
Biomass,"465,921","90,693"
Biomass,"1,002,158","306,418"
Biomass,"1,115,011","283,564"
Biomass,"8,540","5,602"
Biomass,"4,256,344","1,017,398"
Biomass,"30,373","2,628"
Biomass,"1,161,606","224,465"
Coal,"3,526,534","7,947,704"
Coal,"2,251,490","5,198,073"
Coal,"1,014,259","2,349,928"
Coal,"3,299,127","8,014,847"
Coal,"1,437,063","2,917,660"
Coal,"2,238,890","4,677,053"
Coal,"1,400,093","3,014,525"
Coal,"119,318","60,399"
Coal,0,0
Coal,"95,949","110,223"
Coal,"70,388","52,326"
Coal,"285,201","459,398"
Coal,"216,177","112,929"
Petroleum,0,0
Petroleum,"16,856","9,381"
Petroleum,"6,008","2,573"
Petroleum,0,0
Petroleum,"1,849",699
Petroleum,"31,124","18,217"
Petroleum,"2,514","1,088"
Petroleum,"42,397","21,371"
Petroleum,"20,846","11,149"
Petroleum,"23,350","11,729"
Petroleum,0,91
Petroleum,466,205
Petroleum,0,0
Petroleum,0,-107
Petroleum,"53,172","5,885"
Petroleum,0,0
Petroleum,0,0
Petroleum,"15,672","2,313"
Petroleum,0,0
Petroleum,0,0
Petroleum,0,0
Petroleum,"29,589","15,130"
Petroleum,0,0
Petroleum,7,3
Petroleum,0,0
Petroleum,"1,420",719
Petroleum,"98,857","13,416"
Hydro,0,"863,516"
Hydro,0,"511,909"
Hydro,0,"764,959"
Hydro,0,"494,390"
Hydro,0,"652,892"
Hydro,0,"442,277"
Hydro,0,"771,757"
Hydro,0,"1,555,029"
Hydro,0,"495,994"
Hydro,0,"202,307"
Hydro,0,"2,969,315"
Hydro,0,"2,029,148"
Coal,0,0
Gas,"304,507","2,156,430"
Gas,"40,677,834","3,888,492"
Gas,"920,120","94,276"
Gas,"1,636,327","124,267"
Gas,"143,173","14,756"
Gas,"1,255",85
Gas,"647,062","822,981"
Gas,"16,454,300","1,488,177"
Gas,"721,929","70,451"
Gas,0,0
Gas,"318,795","32,746"
Gas,"3,763,651","2,772,552"
Gas,"46,434,078","4,481,723"
Gas,1,"358,695"
Gas,"10,630,328","1,147,743"
Gas,"1,613,073","1,284,834"
Gas,"21,464,542","2,008,290"
Gas,"2,224,808","43,485"
Gas,0,0
Gas,"305,612","8,140"
Gas,"578,061","29,820"
Gas,"2,270,231","65,734"
Gas,"1,117,471","32,924"
Gas,"6,047","24,543"
Gas,"21,271","1,525"
Gas,"1,964,012","48,624"
Gas,"2,579,654","199,122"
Gas,"702,125","19,114"
Gas,0,"90,357"
Gas,"1,940,613","171,831"
Gas,"291,405","237,874"
Gas,"4,000,293","368,716"
