State_Abb,Total REG,Total EG 
AL,15044689.26,142960819.1
AK,1211867.579,6541674.545
AZ,6531423.026,112066600.8
AR,5673478.042,57499168.78
CA,53168952.23,204824248.7
CO,5067406.241,50451388.16
CT,1376923.718,31172259.58
DE,138301.819,5010634.062
DC,0,35499
FL,4492514.759,217154227.1
GA,5986814.366,128438721
HI,768368.195,10785018.29
ID,10318565.01,11941557.49
IL,3675232.951,193214345
IN,2186880.363,116667762.1
IA,8243986.048,51648226.19
KS,2397472.752,46144447.55
KY,3733668.907,90997965.99
LA,3729741.121,91106779.03
ME,8486636.674,16873791.65
MD,2488130.087,44126269.65
MA,2539478.076,40175900.73
MI,3859991.791,101641949.9
MN,7196236.469,52641549.32
MS,1397117.988,48769367.32
MO,2470099.796,88646869.88
MT,10053139.22,25899507.28
NE,750278.024,33970310.68
NV,4214790.598,37819762.92
NH,2699016.304,19985757.08
NJ,973234.219,62502298.53
NM,1862021.256,39754080.91
NY,32657926.77,135475848.8
NC,6943785.489,118993694.8
ND,4239993.33,34102623.13
OH,1113285.634,135949118.4
OK,6226001.436,75245558.56
OR,36841079.56,55861819.91
PA,5884989.763,218376989.4
RI,158911.179,7728451.244
SC,3835807.319,100197178.3
SD,4717287.654,8071740.788
TN,10430467.55,78966504.46
TX,22251326.92,396477154.9
UT,1069875.577,43446797.46
VT,2048324.595,7416940.571
VA,3880303.235,71159683.62
WA,78908802.41,104593404.2
WV,2318714.162,70774920.56
WI,3916369.575,61334663.14
WY,3067428.09,45677968.08
