Renewable Energy Generation - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pumped Hydro Source: EIA's Electric Power Monthly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009 Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technology,,Generation (MWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biomass,,"5,43,37,611 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geothermal,,"1,51,93,304 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar,,"8,07,988 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wind,,"7,07,77,293 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hydro,,"27,21,30,941 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non-Hydro,,,,,,,,,,,,,,,,,,,,,,,,
,,State,,,,2009 MWh Generation,,,,,,,,,,,,,,,,,,,,,,2009 Total Non-Hydro,,2009 Total,,2009,,Renewable as %,,Renewable as %,,,,,,,,,,,,,Non-Hydro,,,,,,,,,
State,,Abbreviation,,Region,,Biomass,,Geothermal,,Solar,,Wind,,Hydro,,HPS,,Coal,,Petroleum,,Gas,,Nuclear,,Other,,RE Generation (MWh),,RE Generation (MWh),,Total Generation (MWh),,of Total Generation,,of Total Generation,,,Petroleum,,Gas,,Coal,,Nuclear,,Hydro,,Renewables,,,,,,,,,
Alabama,,AL,,Southeast,,"32,91,196 ",,0 ,,0 ,,0 ,,"1,17,53,493 ",,0 ,,"5,56,59,872 ",,"1,63,054 ",,"3,23,69,863 ",,"3,97,16,204 ",,"7,137 ",,"32,91,196 ",,"1,50,44,689 ",,"14,29,60,819 ",,2.3%,,10.5%,,,"1,63,054 ",,"3,23,69,863 ",,"5,56,59,872 ",,"3,97,16,204 ",,"1,17,53,493 ",,"32,91,196 ",,,,,,,,,
Alaska,,AK,,Alaska,,"4,255 ",,0 ,,0 ,,"3,062 ",,"12,04,550 ",,0 ,,"5,66,822 ",,"11,91,884 ",,"35,71,101 ",,0 ,,0 ,,"7,317 ",,"12,11,868 ",,"65,41,675 ",,0.1%,,18.5%,,,"11,91,884 ",,"35,71,101 ",,"5,66,822 ",,0 ,,"12,04,550 ",,"7,317 ",,,,,,,,,
Arizona,,AZ,,West,,"1,59,646 ",,0 ,,"13,759 ",,"9,555 ",,"63,48,463 ",,"1,69,480 ",,"3,97,83,826 ",,"67,337 ",,"3,48,52,150 ",,"3,06,61,851 ",,534 ,,"1,82,960 ",,"65,31,423 ",,"11,20,66,601 ",,0.2%,,5.8%,,,"67,337 ",,"3,48,52,150 ",,"3,97,83,826 ",,"3,06,61,851 ",,"63,48,463 ",,"1,82,960 ",,,,,,,,,
Arkansas,,AR,,Southeast,,"14,78,310 ",,0 ,,0 ,,0 ,,"41,95,168 ",,"1,00,365 ",,"2,50,75,250 ",,"87,674 ",,"1,13,68,417 ",,"1,51,69,966 ",,"24,019 ",,"14,78,310 ",,"56,73,478 ",,"5,74,99,169 ",,2.6%,,9.9%,,,"87,674 ",,"1,13,68,417 ",,"2,50,75,250 ",,"1,51,69,966 ",,"41,95,168 ",,"14,78,310 ",,,,,,,,,
California,,CA,,California,,"60,62,630 ",,"1,30,22,836 ",,"6,11,763 ",,"57,64,637 ",,"2,77,07,085 ",,"1,44,453 ",,"19,48,279 ",,"16,38,019 ",,"11,57,49,546 ",,"3,17,34,676 ",,"4,40,323 ",,"2,54,61,867 ",,"5,31,68,952 ",,"20,48,24,249 ",,12.4%,,26.0%,,,"16,38,019 ",,"11,57,49,546 ",,"19,48,279 ",,"3,17,34,676 ",,"2,77,07,085 ",,"2,54,61,867 ",,,,,,,,,
Colorado,,CO,,West,,"50,528 ",,0 ,,"16,530 ",,"29,42,133 ",,"20,58,215 ",,"(1,08,658)",,"3,16,41,090 ",,"15,552 ",,"1,38,02,364 ",,0 ,,"33,633 ",,"30,09,191 ",,"50,67,406 ",,"5,04,51,388 ",,6.0%,,10.0%,,,"15,552 ",,"1,38,02,364 ",,"3,16,41,090 ",,0 ,,"20,58,215 ",,"30,09,191 ",,,,,,,,,
Connecticut,,CT,,New England,,"7,53,801 ",,0 ,,0 ,,0 ,,"6,23,123 ",,"5,385 ",,"24,53,497 ",,"2,88,349 ",,"96,78,195 ",,"1,66,57,387 ",,"7,12,522 ",,"7,53,801 ",,"13,76,924 ",,"3,11,72,260 ",,2.4%,,4.4%,,,"2,88,349 ",,"96,78,195 ",,"24,53,497 ",,"1,66,57,387 ",,"6,23,123 ",,"7,53,801 ",,,,,,,,,
Delaware,,DE,,Mid Atlantic,,"1,38,302 ",,0 ,,0 ,,0 ,,0 ,,0 ,,"29,10,909 ",,"2,68,773 ",,"16,86,773 ",,0 ,,"5,877 ",,"1,38,302 ",,"1,38,302 ",,"50,10,634 ",,2.8%,,2.8%,,,"2,68,773 ",,"16,86,773 ",,"29,10,909 ",,0 ,,0 ,,"1,38,302 ",,,,,,,,,
District of Columbia,,DC,,Mid Atlantic,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,0 ,,"35,499 ",,0 ,,0 ,,0 ,,0 ,,0 ,,"35,499 ",,0.0%,,0.0%,,,"35,499 ",,0 ,,0 ,,0 ,,0 ,,0 ,,,,,,,,,
Florida,,FL,,Florida,,"42,37,764 ",,0 ,,"10,225 ",,0 ,,"2,44,526 ",,0 ,,"5,40,52,312 ",,"89,62,843 ",,"11,77,33,704 ",,"2,93,36,059 ",,"25,76,795 ",,"42,47,989 ",,"44,92,515 ",,"21,71,54,227 ",,2.0%,,2.1%,,,"89,62,843 ",,"11,77,33,704 ",,"5,40,52,312 ",,"2,93,36,059 ",,"2,44,526 ",,"42,47,989 ",,,,,,,,,
